Date of Notice|Business Type|region|company|Number Affected|Layoff Date|Reason for Dislocation|Classification
4/17/2020|Restaurant|New York City Region|Wolf Eastside LLC dba Wolfgang's Steakhouse|65|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/27/2020|Wine Wholesaler|Central Region|Spirit & Sanzone Distributors Co., Inc.|64|6/1/2020|Sale of Business|Plant Closing
4/27/2020|Wine Wholesaler|Mohawk Valley Region|Other Spirit & Sanzone Distributors Co., Inc.|32|6/1/2020|Sale of Business|Plant Closing
3/18/2020|Restaurant|New York City Region|Birth of the Cool, LLC dba Eleven Madison Park|178|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|General Contractor|Mid-Hudson Region|RL Baxter Building Corp.||3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Production Company|New York City Region|Araca Merchandise L.P.|107|3/12/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/24/2020|Janitorial Engineering|Mid-Hudson Region|Able Services, Inc.|28|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Legal Services|New York City Region|Nationwide Court Services, Inc.|22|4/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/23/2020|Transportation Carrier|Capital Region|John R. Mott, Inc.|68|6/30/2020|Death of Company President and Unforeseeable business circumstances prompted by COVID-19|Plant Closing
4/24/2020|Food preparation and delivery services|New York City Region|Kitopi Catering Services, LLC|124|4/23/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
4/20/2020|Restaurant|New York City Region|Gigino at Wagner Park LLC|24|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/20/2020|Restaurant|New York City Region|Gigino Inc. dba Gigino Trattoria|38|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/29/2020|Restaurant|New York City Region|181 Thompson Street LLC|120|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Restaurant|New York City Region|Ark Museum LLC dba Robert|84|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Outdoor Lounge/Restaurant|New York City Region|Ark Bryant Park Southwest dba Fever Tree at the Porch|17|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Restaurant|New York City Region|Rio Restaurant Associates LP dba El Rio Grande|60|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Restaurant|New York City Region|Ark Bryant Park LLC dba Bryant Park Grill|157|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/15/2020|Plumbing, Heating, PVF, Fire Protection, and Waterworks Supplies|Long Island Region|Bruce Supply Corp.|15|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/22/2020|Day Camp|Mid-Hudson Region|YMCA of Greater New York (New York YMCA Camp)|61|4/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|Mid-Hudson Region|Shake Shack Enterprises, LLC dba Woodbury Commons Shake Shack|62|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|Shake Shack Enterprises, LLC dba Hudson Yards Shake Shack|40|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/20/2020|Airline Services|New York City Region|Joint Billion New York LLC|48|3/24/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/21/2020|Restaurant|New York City Region|NYY Steak, LLC|49|4/13/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/21/2020|Restaurant|New York City Region|Hard Rock Caf New York|456|4/13/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Healthcare Center|New York City Region|Morris Heights Health Center||4/10/2020 (115);|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/20/2020|Home automation|Long Island Region|Audio Command Systems, Inc.|70|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Event Company|New York City Region|Production Glue LLC & Department of Events LLC|25|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/21/2020|Restaurant|Western Region|Hard Rock Caf International USA, Inc., Hard Rock Caf Niagara Falls|58|4/13/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Restaurant|Long Island Region|Westbury Manor Enterprises Inc.||3/22/2020 (111);|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Plumbing and Heating|New York City Region|Fred Smith Plumbing & Heating|74|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/23/2020|Restaurant|Long Island Region|PQ New York Inc. dba Le Pain Quotidien|27|Separation of employees occurred on 3/22/2020 through 4/20/2020.|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Hotel|New York City Region|Peninsula Hotel New York, LLC|459|3/29/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
